OBJECTID,X,Y,Z
1,-84.46560079,38.15920614,839.8473663
2,-84.46558865,38.15920614,839.8513031
3,-84.46557651,38.15920614,839.8552399
4,-84.46556437,38.15920614,839.8572083
5,-84.46555223,38.15920614,839.8591919
6,-84.46554009,38.15920614,839.8631287
7,-84.46552795,38.15920614,839.8670349
8,-84.46551581,38.15920614,839.8709717
9,-84.46550367,38.15920614,839.8749084
10,-84.46549153,38.15920614,839.8832245
11,-84.46547939,38.15920614,839.9118652
12,-84.46546725,38.15920614,839.9725647
13,-84.46545511,38.15920614,840.0109863
14,-84.46544297,38.15920614,840.0471954
15,-84.46543083,38.15920614,840.1544189
16,-84.46541869,38.15920614,840.2996063
17,-84.46540655,38.15920614,840.4386139
18,-84.46539441,38.15920614,840.5606995
19,-84.46538227,38.15920614,840.7517242
20,-84.46537013,38.15920614,841.0966949
21,-84.46535799,38.15920614,841.5599365
22,-84.46534585,38.15920614,841.8119812
23,-84.46533371,38.15920614,842.0556641
24,-84.46532158,38.15920614,842.4720459
25,-84.46530944,38.15920614,843.1221771
26,-84.4652973,38.15920614,843.8786774
27,-84.46528516,38.15920614,844.4703522
28,-84.46527302,38.15920614,845.1902924
29,-84.46526088,38.15920614,845.9206238
30,-84.46524874,38.15920614,846.7801666
31,-84.4652366,38.15920614,847.3167114
32,-84.46522446,38.15920614,848.0210876
33,-84.46521232,38.15920614,849.3621063
34,-84.46520018,38.15920614,850.3753967
35,-84.46518804,38.15920614,850.8382721
36,-84.4651759,38.15920614,851.0426788
37,-84.46516376,38.15920614,851.3444977
38,-84.46515162,38.15920614,851.7702026
39,-84.46513948,38.15920614,852.2931671
40,-84.46512734,38.15920614,852.5740662
41,-84.4651152,38.15920614,852.8976288
42,-84.46510306,38.15920614,853.5428467
43,-84.46509092,38.15920614,854.1890411
44,-84.46507878,38.15920614,854.8187256
45,-84.46506664,38.15920614,855.3772736
46,-84.4650545,38.15920614,855.9076385
47,-84.46504236,38.15920614,856.5317841
48,-84.46503022,38.15920614,857.2505951
49,-84.46501808,38.15920614,857.6222229
50,-84.46500594,38.15920614,857.9593811
51,-84.4649938,38.15920614,858.4845734
52,-84.46498166,38.15920614,858.9493713
53,-84.46496952,38.15920614,859.5653381
54,-84.46495738,38.15920614,860.2742462
55,-84.46494524,38.15920614,861.0167847
56,-84.4649331,38.15920614,861.8673706
57,-84.46492096,38.15920614,862.3451233
58,-84.46490882,38.15920614,862.8604431
59,-84.46489668,38.15920614,863.923645
60,-84.46488454,38.15920614,865.030777
61,-84.4648724,38.15920614,866.1282959
62,-84.46486027,38.15920614,867.2700195
63,-84.46484813,38.15920614,868.5286713
64,-84.46483599,38.15920614,869.8242493
65,-84.46482385,38.15920614,871.081604
66,-84.46481171,38.15920614,871.6985779
67,-84.46479957,38.15920614,872.3768616
68,-84.46478743,38.15920614,873.601532
69,-84.46477529,38.15920614,874.7100983
70,-84.46476315,38.15920614,875.8688507
71,-84.46475101,38.15920614,877.073288
72,-84.46473887,38.15920614,878.2499084
73,-84.46472673,38.15920614,879.2728271
74,-84.46471459,38.15920614,880.2039337
75,-84.46470245,38.15920614,880.6808777
76,-84.46469031,38.15920614,881.1624298
77,-84.46467817,38.15920614,882.0193176
78,-84.46466603,38.15920614,882.8288574
79,-84.46465389,38.15920614,883.6903534
80,-84.46464175,38.15920614,884.4573669
81,-84.46462961,38.15920614,885.0626678
82,-84.46461747,38.15920614,885.6724091
83,-84.46460533,38.15920614,886.2558899
84,-84.46459319,38.15920614,886.4952087
85,-84.46458105,38.15920614,886.6717529
86,-84.46456891,38.15920614,887.026474
87,-84.46455677,38.15920614,887.4285583
88,-84.46454463,38.15920614,887.8770142
89,-84.46453249,38.15920614,888.3351746
90,-84.46452035,38.15920614,888.7922211
91,-84.46450821,38.15920614,889.196228
92,-84.46449607,38.15920614,889.4741974
93,-84.46448393,38.15920614,889.5715942
94,-84.46447179,38.15920614,889.5546875
95,-84.46445965,38.15920614,889.5580597
96,-84.46444751,38.15920614,889.6173706
97,-84.46443537,38.15920614,889.7179565
98,-84.46442323,38.15920614,889.8918457
99,-84.46441109,38.15920614,890.0014496
100,-84.46439896,38.15920614,890.0402527
101,-84.46438682,38.15920614,890.1040955
102,-84.46437468,38.15920614,890.1264038
103,-84.46436254,38.15920614,890.0970001
104,-84.4643504,38.15920614,890.0883331
105,-84.46433826,38.15920614,890.1392059
106,-84.46432612,38.15920614,890.1831207
107,-84.46431398,38.15920614,890.2046814
108,-84.46430184,38.15920614,890.2281647
109,-84.4642897,38.15920614,890.20784
110,-84.46427756,38.15920614,890.171814
111,-84.46426542,38.15920614,890.1334381
112,-84.46425328,38.15920614,890.0836029
113,-84.46424114,38.15920614,890.0963287
114,-84.464229,38.15920614,890.17276
115,-84.46421686,38.15920614,890.2854004
116,-84.46420472,38.15920614,890.4044037
117,-84.46419258,38.15920614,890.5236664
118,-84.46418044,38.15920614,890.6706696
119,-84.4641683,38.15920614,890.757019
120,-84.46415616,38.15920614,890.9542999
121,-84.46414402,38.15920614,891.3125458
122,-84.46413188,38.15920614,891.7012939
123,-84.46411974,38.15920614,892.1261902
124,-84.4641076,38.15920614,892.3847504
125,-84.46409546,38.15920614,892.4421082
126,-84.46408332,38.15920614,892.3928223
127,-84.46407118,38.15920614,892.3044586
128,-84.46405904,38.15920614,892.2612915
129,-84.4640469,38.15920614,892.2323608
130,-84.46403476,38.15920614,892.1802979
131,-84.46402262,38.15920614,892.2061768
132,-84.46401048,38.15920614,892.3098297
133,-84.46399834,38.15920614,892.3829956
134,-84.4639862,38.15920614,892.4137573
135,-84.46397406,38.15920614,892.5905914
136,-84.46396192,38.15920614,892.8349915
137,-84.46394978,38.15920614,892.9147949
138,-84.46393765,38.15920614,892.9637604
139,-84.46392551,38.15920614,893.0616608
140,-84.46391337,38.15920614,893.187973
141,-84.46390123,38.15920614,893.3888397
142,-84.46388909,38.15920614,893.5980072
143,-84.46387695,38.15920614,893.7918701
144,-84.46386481,38.15920614,894.0187988
145,-84.46385267,38.15920614,894.2267151
146,-84.46384053,38.15920614,894.3158875
147,-84.46382839,38.15920614,894.4034576
149,-84.46560079,38.159194,839.9892426
150,-84.46558865,38.159194,840.0513611
151,-84.46557651,38.159194,840.092865
152,-84.46556437,38.159194,840.105835
153,-84.46555223,38.159194,840.1238098
154,-84.46554009,38.159194,840.1655426
155,-84.46552795,38.159194,840.2161865
156,-84.46551581,38.159194,840.2684631
157,-84.46550367,38.159194,840.3179932
158,-84.46549153,38.159194,840.367981
159,-84.46547939,38.159194,840.4497528
160,-84.46546725,38.159194,840.6036987
161,-84.46545511,38.159194,840.7017212
162,-84.46544297,38.159194,840.828598
163,-84.46543083,38.159194,841.1643982
164,-84.46541869,38.159194,841.61026
165,-84.46540655,38.159194,842.0682373
166,-84.46539441,38.159194,842.4656219
167,-84.46538227,38.159194,842.8072662
168,-84.46537013,38.159194,843.2563477
169,-84.46535799,38.159194,843.828186
170,-84.46534585,38.159194,844.1162415
171,-84.46533371,38.159194,844.3776703
172,-84.46532158,38.159194,844.874176
173,-84.46530944,38.159194,845.6336365
174,-84.4652973,38.159194,846.4514465
175,-84.46528516,38.159194,847.0220032
176,-84.46527302,38.159194,847.675705
177,-84.46526088,38.159194,848.54776
178,-84.46524874,38.159194,849.636734
179,-84.4652366,38.159194,850.2302246
180,-84.46522446,38.159194,851.000885
181,-84.46521232,38.159194,852.4626007
182,-84.46520018,38.159194,853.567749
183,-84.46518804,38.159194,854.1616211
184,-84.4651759,38.159194,854.4912109
185,-84.46516376,38.159194,854.9206696
186,-84.46515162,38.159194,855.6300354
187,-84.46513948,38.159194,856.5838318
188,-84.46512734,38.159194,857.1079102
189,-84.4651152,38.159194,857.2661133
190,-84.46510306,38.159194,857.4939575
191,-84.46509092,38.159194,857.7002258
192,-84.46507878,38.159194,858.0376129
193,-84.46506664,38.159194,858.3582153
194,-84.4650545,38.159194,858.6308746
195,-84.46504236,38.159194,858.9619293
196,-84.46503022,38.159194,859.3549652
197,-84.46501808,38.159194,859.5697632
198,-84.46500594,38.159194,859.8148193
199,-84.4649938,38.159194,860.308136
200,-84.46498166,38.159194,860.8266449
201,-84.46496952,38.159194,861.4449921
202,-84.46495738,38.159194,862.2007904
203,-84.46494524,38.159194,863.0430298
204,-84.4649331,38.159194,863.9315796
205,-84.46492096,38.159194,864.3855896
206,-84.46490882,38.159194,864.8648224
207,-84.46489668,38.159194,865.8744202
208,-84.46488454,38.159194,866.9707642
209,-84.4648724,38.159194,868.0872498
210,-84.46486027,38.159194,869.2262726
211,-84.46484813,38.159194,870.5402374
212,-84.46483599,38.159194,871.9147339
213,-84.46482385,38.159194,873.0908203
214,-84.46481171,38.159194,873.6178589
215,-84.46479957,38.159194,874.2675476
216,-84.46478743,38.159194,875.4817963
217,-84.46477529,38.159194,876.5577698
218,-84.46476315,38.159194,877.5975189
219,-84.46475101,38.159194,878.7116852
220,-84.46473887,38.159194,879.7870636
221,-84.46472673,38.159194,880.6990814
222,-84.46471459,38.159194,881.5408783
223,-84.46470245,38.159194,881.9602051
224,-84.46469031,38.159194,882.3703461
225,-84.46467817,38.159194,883.1479034
226,-84.46466603,38.159194,883.9328918
227,-84.46465389,38.159194,884.7521973
228,-84.46464175,38.159194,885.4688721
229,-84.46462961,38.159194,886.0272522
230,-84.46461747,38.159194,886.5847626
231,-84.46460533,38.159194,887.1131897
232,-84.46459319,38.159194,887.3275452
233,-84.46458105,38.159194,887.47258
234,-84.46456891,38.159194,887.785141
235,-84.46455677,38.159194,888.1936646
236,-84.46454463,38.159194,888.63974
237,-84.46453249,38.159194,889.052536
238,-84.46452035,38.159194,889.4389954
239,-84.46450821,38.159194,889.7449493
240,-84.46449607,38.159194,889.9306946
241,-84.46448393,38.159194,889.9892273
242,-84.46447179,38.159194,889.9983978
243,-84.46445965,38.159194,890.0312653
244,-84.46444751,38.159194,890.073822
245,-84.46443537,38.159194,890.1284943
246,-84.46442323,38.159194,890.2815399
247,-84.46441109,38.159194,890.3934326
248,-84.46439896,38.159194,890.419754
249,-84.46438682,38.159194,890.4678955
250,-84.46437468,38.159194,890.484375
251,-84.46436254,38.159194,890.4577332
252,-84.4643504,38.159194,890.4222107
253,-84.46433826,38.159194,890.4293823
254,-84.46432612,38.159194,890.4508057
255,-84.46431398,38.159194,890.4602814
256,-84.46430184,38.159194,890.4787903
257,-84.4642897,38.159194,890.4524231
258,-84.46427756,38.159194,890.4116516
259,-84.46426542,38.159194,890.4082794
260,-84.46425328,38.159194,890.4176178
261,-84.46424114,38.159194,890.4544067
262,-84.464229,38.159194,890.5148621
263,-84.46421686,38.159194,890.5932007
264,-84.46420472,38.159194,890.6733856
265,-84.46419258,38.159194,890.7657013
266,-84.46418044,38.159194,890.905365
267,-84.4641683,38.159194,890.9909363
268,-84.46415616,38.159194,891.1288452
269,-84.46414402,38.159194,891.4328918
270,-84.46413188,38.159194,891.7906799
271,-84.46411974,38.159194,892.1304169
272,-84.4641076,38.159194,892.3204346
273,-84.46409546,38.159194,892.3807983
274,-84.46408332,38.159194,892.4277344
275,-84.46407118,38.159194,892.4554138
276,-84.46405904,38.159194,892.4545898
277,-84.4640469,38.159194,892.4276276
278,-84.46403476,38.159194,892.3717499
279,-84.46402262,38.159194,892.4120636
280,-84.46401048,38.159194,892.5538177
281,-84.46399834,38.159194,892.6553955
282,-84.4639862,38.159194,892.6975403
283,-84.46397406,38.159194,892.856308
284,-84.46396192,38.159194,893.0719604
285,-84.46394978,38.159194,893.1419373
286,-84.46393765,38.159194,893.2088776
287,-84.46392551,38.159194,893.3348846
288,-84.46391337,38.159194,893.4504089
289,-84.46390123,38.159194,893.6252136
290,-84.46388909,38.159194,893.8401337
291,-84.46387695,38.159194,894.0334778
292,-84.46386481,38.159194,894.2321014
293,-84.46385267,38.159194,894.4374084
294,-84.46384053,38.159194,894.540863
295,-84.46382839,38.159194,894.6323547
297,-84.46560079,38.15918186,840.6766663
298,-84.46558865,38.15918186,840.8522186
299,-84.46557651,38.15918186,840.9748993
300,-84.46556437,38.15918186,841.0168762
301,-84.46555223,38.15918186,841.0708771
302,-84.46554009,38.15918186,841.2092133
303,-84.46552795,38.15918186,841.4000854
304,-84.46551581,38.15918186,841.6156006
305,-84.46550367,38.15918186,841.8389435
306,-84.46549153,38.15918186,842.0342255
307,-84.46547939,38.15918186,842.1914673
308,-84.46546725,38.15918186,842.3853912
309,-84.46545511,38.15918186,842.5029907
310,-84.46544297,38.15918186,842.7507019
311,-84.46543083,38.15918186,843.2796783
312,-84.46541869,38.15918186,843.9312439
313,-84.46540655,38.15918186,844.683136
314,-84.46539441,38.15918186,845.3822021
315,-84.46538227,38.15918186,845.9175568
316,-84.46537013,38.15918186,846.3608093
317,-84.46535799,38.15918186,846.8121033
318,-84.46534585,38.15918186,847.0380249
319,-84.46533371,38.15918186,847.2794189
320,-84.46532158,38.15918186,847.7995911
321,-84.46530944,38.15918186,848.4645844
322,-84.4652973,38.15918186,849.1786652
323,-84.46528516,38.15918186,849.8415985
324,-84.46527302,38.15918186,850.5883789
325,-84.46526088,38.15918186,851.5784149
326,-84.46524874,38.15918186,852.9031525
327,-84.4652366,38.15918186,853.6495667
328,-84.46522446,38.15918186,854.5188141
329,-84.46521232,38.15918186,856.0967865
330,-84.46520018,38.15918186,857.2039337
331,-84.46518804,38.15918186,857.8841248
332,-84.4651759,38.15918186,858.3900604
333,-84.46516376,38.15918186,858.9028473
334,-84.46515162,38.15918186,859.631485
335,-84.46513948,38.15918186,860.6667633
336,-84.46512734,38.15918186,861.2620239
337,-84.4651152,38.15918186,861.272644
338,-84.46510306,38.15918186,861.2651672
339,-84.46509092,38.15918186,861.2621765
340,-84.46507878,38.15918186,861.3319855
341,-84.46506664,38.15918186,861.4289398
342,-84.4650545,38.15918186,861.5496826
343,-84.46504236,38.15918186,861.6498871
344,-84.46503022,38.15918186,861.7473297
345,-84.46501808,38.15918186,861.8230591
346,-84.46500594,38.15918186,862.0040894
347,-84.4649938,38.15918186,862.4234161
348,-84.46498166,38.15918186,862.8795776
349,-84.46496952,38.15918186,863.3967285
350,-84.46495738,38.15918186,864.0696564
351,-84.46494524,38.15918186,864.8674164
352,-84.4649331,38.15918186,865.7629395
353,-84.46492096,38.15918186,866.2343445
354,-84.46490882,38.15918186,866.7165833
355,-84.46489668,38.15918186,867.7018433
356,-84.46488454,38.15918186,868.7459259
357,-84.4648724,38.15918186,869.8840179
358,-84.46486027,38.15918186,871.1499023
359,-84.46484813,38.15918186,872.5452728
360,-84.46483599,38.15918186,873.8859406
361,-84.46482385,38.15918186,874.9875488
362,-84.46481171,38.15918186,875.4750061
363,-84.46479957,38.15918186,876.0722351
364,-84.46478743,38.15918186,877.2571869
365,-84.46477529,38.15918186,878.3460541
366,-84.46476315,38.15918186,879.2976074
367,-84.46475101,38.15918186,880.1939545
368,-84.46473887,38.15918186,881.1130829
369,-84.46472673,38.15918186,881.968399
370,-84.46471459,38.15918186,882.7386017
371,-84.46470245,38.15918186,883.1266785
372,-84.46469031,38.15918186,883.5197601
373,-84.46467817,38.15918186,884.2801514
374,-84.46466603,38.15918186,885.0391388
375,-84.46465389,38.15918186,885.7830658
376,-84.46464175,38.15918186,886.4357452
377,-84.46462961,38.15918186,886.9800262
378,-84.46461747,38.15918186,887.4225159
379,-84.46460533,38.15918186,887.8270569
380,-84.46459319,38.15918186,888.032959
381,-84.46458105,38.15918186,888.1898193
382,-84.46456891,38.15918186,888.5284271
383,-84.46455677,38.15918186,888.9442902
384,-84.46454463,38.15918186,889.3129578
385,-84.46453249,38.15918186,889.6112061
386,-84.46452035,38.15918186,889.9351807
387,-84.46450821,38.15918186,890.2111206
388,-84.46449607,38.15918186,890.3632965
389,-84.46448393,38.15918186,890.3998108
390,-84.46447179,38.15918186,890.4094391
391,-84.46445965,38.15918186,890.4424896
392,-84.46444751,38.15918186,890.4801636
393,-84.46443537,38.15918186,890.5200043
394,-84.46442323,38.15918186,890.6420288
395,-84.46441109,38.15918186,890.7256317
396,-84.46439896,38.15918186,890.7377167
397,-84.46438682,38.15918186,890.7846985
398,-84.46437468,38.15918186,890.8067627
399,-84.46436254,38.15918186,890.8016205
400,-84.4643504,38.15918186,890.7808533
401,-84.46433826,38.15918186,890.7764587
402,-84.46432612,38.15918186,890.7822876
403,-84.46431398,38.15918186,890.7593842
404,-84.46430184,38.15918186,890.7240448
405,-84.4642897,38.15918186,890.6850586
406,-84.46427756,38.15918186,890.6639099
407,-84.46426542,38.15918186,890.6930084
408,-84.46425328,38.15918186,890.7467041
409,-84.46424114,38.15918186,890.7914429
410,-84.464229,38.15918186,890.8509521
411,-84.46421686,38.15918186,890.9168549
412,-84.46420472,38.15918186,890.9638672
413,-84.46419258,38.15918186,891.0187836
414,-84.46418044,38.15918186,891.117981
415,-84.4641683,38.15918186,891.1827393
416,-84.46415616,38.15918186,891.2931976
417,-84.46414402,38.15918186,891.5482483
418,-84.46413188,38.15918186,891.7945709
419,-84.46411974,38.15918186,891.9859772
420,-84.4641076,38.15918186,892.1752319
421,-84.46409546,38.15918186,892.328186
422,-84.46408332,38.15918186,892.435257
423,-84.46407118,38.15918186,892.5204315
424,-84.46405904,38.15918186,892.5519104
425,-84.4640469,38.15918186,892.5591736
426,-84.46403476,38.15918186,892.5624542
427,-84.46402262,38.15918186,892.6400146
428,-84.46401048,38.15918186,892.7880707
429,-84.46399834,38.15918186,892.8906555
430,-84.4639862,38.15918186,892.9616547
431,-84.46397406,38.15918186,893.1266632
432,-84.46396192,38.15918186,893.283371
433,-84.46394978,38.15918186,893.3099976
434,-84.46393765,38.15918186,893.3884735
435,-84.46392551,38.15918186,893.5493317
436,-84.46391337,38.15918186,893.6917877
437,-84.46390123,38.15918186,893.8678131
438,-84.46388909,38.15918186,894.0926666
439,-84.46387695,38.15918186,894.2972107
440,-84.46386481,38.15918186,894.486496
441,-84.46385267,38.15918186,894.6870728
442,-84.46384053,38.15918186,894.7940063
443,-84.46382839,38.15918186,894.8922119
445,-84.46560079,38.15916972,843.8829956
446,-84.46558865,38.15916972,844.1149902
447,-84.46557651,38.15916972,844.2468567
448,-84.46556437,38.15916972,844.2911987
449,-84.46555223,38.15916972,844.4277954
450,-84.46554009,38.15916972,844.7073669
451,-84.46552795,38.15916972,845.0081024
452,-84.46551581,38.15916972,845.3642273
453,-84.46550367,38.15916972,845.8138428
454,-84.46549153,38.15916972,846.2350616
455,-84.46547939,38.15916972,846.5995483
