FID,Z,LON,LAT
29346,183.17,-83.43015031,39.02709895
29347,186.67,-83.43132243,39.02677088
29348,186.02,-83.4312787,39.02678558
29349,183.33,-83.43012476,39.02711164
29350,183.53,-83.43007396,39.02712604
29351,183.51,-83.43000601,39.0271452
29352,182.14,-83.42976908,39.02721204
29353,179.91,-83.4296142,39.02726617
29354,194.7,-83.42873757,39.02751463
29355,197.57,-83.42841017,39.0276074
29356,182.1,-83.42968823,39.02724904
29357,184.07,-83.43005308,39.02714701
29358,183.24,-83.43027298,39.0270854
29359,173.3,-83.4321574,39.02655778
29360,173.8,-83.43091355,39.02690942
29361,184.23,-83.42907711,39.02742863
29362,187.53,-83.42897175,39.02745858
29363,188.34,-83.42895001,39.0274647
29364,197.54,-83.42844552,39.02760775
29365,177.92,-83.43065684,39.02698856
29366,174.8,-83.43094308,39.02690826
29367,183.77,-83.43027638,39.02710037
29368,196.84,-83.42842917,39.02762268
29369,197.4,-83.42862585,39.02756795
29370,184.61,-83.4300442,39.02717089
29371,184.65,-83.43010667,39.02715346
29372,184.65,-83.43015198,39.02714081
29373,181.57,-83.43048376,39.02704794
29374,184.23,-83.43128865,39.02682321
29375,185.41,-83.43136085,39.02680315
29376,173.24,-83.43209259,39.02659787
29377,186.23,-83.43143335,39.02678515
29378,177.55,-83.4306959,39.02699261
29379,184.86,-83.43013397,39.02715136
29380,184.85,-83.43004932,39.02717529
29381,184.75,-83.43003776,39.02717851
29382,184.77,-83.43001522,39.02718483
29383,181.51,-83.42918911,39.02741747
29384,187.99,-83.42894728,39.02748602
29385,196.83,-83.42845205,39.02762644
29386,194.03,-83.42874838,39.02754359
29387,184.92,-83.43136337,39.02681265
29388,186.24,-83.43147145,39.02678489
29389,181.64,-83.43059181,39.02703253
29390,196.44,-83.42846806,39.02763178
29391,194.55,-83.4287302,39.02755893
29392,186.39,-83.42897731,39.02748945
29393,180.22,-83.42924434,39.02741451
29394,179,-83.43107208,39.02690422
29395,182.26,-83.43120515,39.0268673
29396,173.22,-83.43218279,39.02659419
29397,178.86,-83.42941265,39.02737461
29398,180.44,-83.42923041,39.02742607
29399,195.87,-83.4284692,39.0276414
29400,192.08,-83.42881256,39.02754568
29401,184.25,-83.42902799,39.02748515
29402,179.43,-83.42928759,39.02741253
29403,179.13,-83.42934079,39.02739764
29404,186.04,-83.43016721,39.02716752
29405,175.87,-83.43083308,39.02698128
29406,182.78,-83.43127849,39.02686046
29407,181.07,-83.43117873,39.02688839
29408,174.32,-83.43101351,39.02693445
29409,182.27,-83.42968622,39.02730836
29410,189.75,-83.4288926,39.02753194
29411,195.41,-83.42847286,39.0276506
29412,196.4,-83.42861589,39.02761095
29413,184.08,-83.4297694,39.02728861
29414,175.65,-83.4308491,39.02698707
29415,174.29,-83.43102198,39.02693887
29416,185.24,-83.43160432,39.02677924
29417,182.54,-83.43045135,39.0271033
29418,183.97,-83.43037333,39.02712529
29419,186.15,-83.43027381,39.02715349
29420,185.52,-83.42984833,39.02727309
29421,186.65,-83.43010991,39.0272043
29422,187.41,-83.43018977,39.02718209
29423,181.81,-83.43127156,39.02688051
29424,179.81,-83.43118172,39.02690842
29425,180.1,-83.42921784,39.02746021
29426,194.76,-83.42851965,39.02765756
29427,189.85,-83.42887961,39.02755726
29428,177.42,-83.43112236,39.02693227
29429,182.86,-83.43137889,39.02686124
29430,183.89,-83.43145166,39.02684108
29431,173.28,-83.43211917,39.02665552
29432,181.53,-83.43052152,39.02710472
29433,182.03,-83.42963566,39.02735672
29434,174.14,-83.43096482,39.02698646
29435,180.99,-83.43129046,39.02689633
29436,180.14,-83.43125372,39.02690944
29437,177.73,-83.43115372,39.02693739
29438,187.15,-83.43008839,39.02723691
29439,182.68,-83.42905699,39.0275259
29440,193.9,-83.42854081,39.02767162
29441,187.36,-83.43003785,39.02725545
29442,181.42,-83.43134941,39.0268906
29443,173,-83.43202238,39.02670295
29444,181.51,-83.431363,39.02688951
29445,177.59,-83.43116815,39.02694384
29446,178.48,-83.4307183,39.02706999
29447,188.13,-83.43013176,39.02723502
29448,193.13,-83.42871106,39.02763429
29449,190.75,-83.42882067,39.02760371
29450,186.85,-83.42989048,39.02730636
29451,175.35,-83.43088097,39.02703056
29452,179.76,-83.43129003,39.02691734
29453,183.44,-83.43158969,39.02683432
29454,183.35,-83.4316072,39.02682945
29455,181.61,-83.4313947,39.02689119
29456,178.65,-83.4307499,39.02707167
29457,187.6,-83.43001038,39.02727944
29458,187.16,-83.42991313,39.0273067
29459,180.37,-83.42931437,39.02747621
29460,180.68,-83.42952456,39.02741787
29461,181.89,-83.43144918,39.02688654
29462,176.23,-83.43118203,39.02696103
29463,186.69,-83.43038908,39.02718371
29464,181.11,-83.42925675,39.0275003
29465,183.24,-83.42901729,39.02756736
29466,178.23,-83.43126935,39.0269475
29467,174.09,-83.43115287,39.02697984
29468,173.15,-83.43107313,39.02700213
29469,190.62,-83.43013866,39.0272647
29470,180.3,-83.42934154,39.02748691
29471,173.98,-83.43115299,39.02698686
29472,174.77,-83.43119042,39.02698005
29473,181.35,-83.42952118,39.02744722
29474,187.45,-83.42888247,39.02762738
29475,187.93,-83.42992829,39.02733773
29476,183.85,-83.43054169,39.02716773
29477,181.27,-83.43149767,39.02690282
29478,173.07,-83.43116092,39.02699895
29479,179.16,-83.43079138,39.02710252
29480,187.35,-83.42986832,39.02736088
29481,185.05,-83.42974899,39.02739409
29482,190.68,-83.42871813,39.02768234
29483,181.57,-83.42953295,39.02745697
29484,189.44,-83.43005656,39.02731263
29485,191.3,-83.43011527,39.02729654
29486,180.63,-83.43148257,39.02692044
29487,173.96,-83.43120362,39.02699797
29488,188.69,-83.43001605,39.02733041
29489,182.93,-83.4290275,39.02760589
29490,190.11,-83.42872066,39.02769202
29491,189.97,-83.42873361,39.02768896
29492,183.19,-83.42900764,39.02761279
29493,183.13,-83.42901348,39.02761114
29494,182.52,-83.42961912,39.02744364
29495,186.21,-83.4298077,39.02739169
29496,174.36,-83.43101392,39.02705743
29497,181.07,-83.43164726,39.02688277
29498,173.1,-83.43211065,39.02675408
29499,180.98,-83.43157732,39.02690477
29500,188.75,-83.43043413,39.0272243
29501,194.23,-83.43022751,39.02728231
29502,189.66,-83.42871726,39.02770389
29503,181.74,-83.42929657,39.02754335
29504,174.71,-83.43128181,39.02699445
29505,173.27,-83.43237594,39.0266926
29506,174.05,-83.43125653,39.02700489
29507,188.25,-83.42879127,39.02769307
29508,188.5,-83.42877445,39.02769775
29509,183.74,-83.42966035,39.02745351
29510,185.07,-83.42973301,39.02743361
29511,180.21,-83.43167316,39.02690034
29512,180.12,-83.43156344,39.02693091
29513,177.49,-83.43141801,39.02697125
29514,173.93,-83.43126617,39.02701333
29515,188.43,-83.42869611,39.02773073
29516,181.36,-83.42942489,39.02752941
29517,189.23,-83.42995561,39.02738338
29518,179.86,-83.43156737,39.02693786
29519,194.94,-83.43027049,39.02730285
29520,186.17,-83.42977757,39.02743962
29521,183.76,-83.42893203,39.02767491
29522,187.45,-83.42874453,39.02772801
29523,185.29,-83.42973604,39.02745445
29524,189.67,-83.43050339,39.02724313
29525,178.96,-83.43153594,39.02695762
29526,172.63,-83.43238166,39.02672473
29527,174.03,-83.43132402,39.02701925
29528,186.65,-83.42876309,39.02773348
29529,186.02,-83.4288132,39.02771964
29530,185.96,-83.42976203,39.02745805
29531,188.49,-83.43056028,39.02723807
29532,190.52,-83.43049503,39.02726222
29533,192.34,-83.43042959,39.02728062
29534,185.13,-83.4297234,39.0274767
29535,183.17,-83.42926619,39.0276038
29536,184.24,-83.4289139,39.02770187
29537,186.52,-83.42876689,39.0277434
29538,181.68,-83.42949532,39.02754227
29539,194.58,-83.43034817,39.0273079
29540,180.34,-83.43086699,39.0271687
29541,190.16,-83.43052525,39.02726439
29542,183.65,-83.42910492,39.02766068
29543,173.82,-83.43135694,39.02703955
29544,173.96,-83.43120592,39.02708514
29545,193.37,-83.43041912,39.02730525
29546,184.44,-83.42895573,39.02771262
29547,182.31,-83.42937248,39.02759771
29548,173.55,-83.43136966,39.02704676
29549,175.3,-83.43151304,39.02700738
29550,173.9,-83.4314762,39.02702094
29551,173.95,-83.43118581,39.02710168
29552,173.9,-83.43113398,39.0271161
29553,196.28,-83.43027522,39.02735654
29554,185.42,-83.42972588,39.02750863
29555,184.37,-83.42967679,39.02752218
29556,182.84,-83.42957896,39.02754935
29557,182.41,-83.42938033,39.02760458
29558,182.46,-83.42931992,39.02762133
29559,184.28,-83.42898193,39.0277155
29560,183.93,-83.42909674,39.02768482
29561,181.63,-83.42947411,39.02758064
29562,176.77,-83.4316767,39.02697342
29563,173.18,-83.4313919,39.02705531
29564,191.43,-83.43002512,39.02743662
29565,187.19,-83.42982408,39.02749226
29566,183.36,-83.42960565,39.02755285
29567,183.73,-83.42914809,39.02768005
29568,183.94,-83.42908646,39.02769845
29569,182.32,-83.42941018,39.02760918
29570,186.67,-83.42978082,39.02750731
29571,196.82,-83.43020868,39.02739685
29572,186.03,-83.42974905,39.02752401
29573,182.11,-83.42952775,39.02758529
29574,184.01,-83.42910865,39.02770196
29575,173.58,-83.43147181,39.02705139
29576,174.37,-83.43176577,39.02697039
29577,170.22,-83.43259307,39.02674258
29578,174.15,-83.43181094,39.02696044
29579,184.2,-83.42922629,39.02767995
29580,196.7,-83.43018424,39.02741835
29581,195.83,-83.43037073,39.02737302
29582,183.02,-83.42940588,39.02764234
29583,182.53,-83.42954777,39.02760316
29584,194.56,-83.43011352,39.02744794
29585,197.1,-83.43028883,39.02739977
29586,189.72,-83.43065654,39.02730363
29587,184.97,-83.42917259,39.02771738
29588,184.59,-83.42932558,39.02767518
29589,196.12,-83.43038675,39.0273889
29590,190.67,-83.42999383,39.02749782
29591,185.24,-83.42923386,39.0277089
29592,196.76,-83.43033998,39.02740601
29593,192.81,-83.43054823,39.02734842
29594,173.27,-83.43216364,39.02690164
29595,184.48,-83.42964434,39.02760664
29596,186.84,-83.42976106,39.02757457
29597,185.85,-83.42915444,39.02775065
29598,184.69,-83.42964742,39.0276155
29599,173.7,-83.43138905,39.02713393
29600,192.09,-83.43005247,39.0275102
29601,187.78,-83.42984571,39.0275674
29602,187.72,-83.42982821,39.02757227
29603,183.18,-83.42949759,39.02766583
29604,197.68,-83.43023202,39.0274643
29605,172.35,-83.43159623,39.02708907
29606,172.78,-83.43219184,39.02693249
29607,193.09,-83.43009021,39.02751924
29608,186.81,-83.42975861,39.02761102
29609,186,-83.4297167,39.02762496
29610,182.86,-83.43101564,39.02726614
29611,173.46,-83.43181143,39.02704557
29612,173.5,-83.43185659,39.02703526
29613,196.47,-83.43043218,39.02743363
29614,186.06,-83.42928803,39.02775273
29615,185.72,-83.42931618,39.02774484
29616,187.26,-83.42978018,39.02761697
29617,190.73,-83.43072352,39.02735693
29618,183.23,-83.43106894,39.02726098
29619,173.56,-83.43140029,39.02716875
29620,173.59,-83.43150591,39.02713961
29621,173.49,-83.43184403,39.02704624
29622,173.57,-83.43151277,39.02714099
29623,197.49,-83.43037085,39.02746077
29624,184.24,-83.42961921,39.02766888
29625,183.2,-83.42953328,39.02769266
29626,197.67,-83.430364,39.02746641
29627,173.66,-83.43154376,39.02713882
29628,198.1,-83.43033126,39.02748169
29629,198.13,-83.43025117,39.02750759
29630,197.73,-83.4303847,39.02747724
29631,173.56,-83.43154939,39.02715798
29632,173.63,-83.4314549,39.02718815
29633,190.53,-83.43000461,39.02759328
29634,195.24,-83.43015268,39.02755587
29635,171.04,-83.43237888,39.02694021
29636,173.7,-83.4317722,39.02711072
29637,184,-83.43112704,39.02729103
29638,197.8,-83.43040442,39.02749314
29639,191.05,-83.43000977,39.02760236
29640,186.45,-83.42937188,39.02777927
29641,195.78,-83.43055148,39.02745673
29642,192.57,-83.43072266,39.02740938
29643,183.98,-83.43109544,39.02730601
29644,184.15,-83.43113515,39.02729519
29645,198.65,-83.43034461,39.02752087
29646,198.71,-83.43029495,39.02753461
29647,198.07,-83.43022767,39.02755331
29648,193.18,-83.43010363,39.02758734
29649,191.21,-83.43001003,39.02761317
29650,188.18,-83.42980575,39.02767202
29651,171.76,-83.43207378,39.02704649
29652,189.58,-83.42920124,39.02784923
29653,185.34,-83.42965129,39.02772516
29654,197.83,-83.4302126,39.02757191
29655,198.9,-83.4302919,39.02755017
29656,174.8,-83.4314232,39.02723719
29657,173.4,-83.43184498,39.02712109
29658,173.45,-83.43163569,39.02718222
29659,198.44,-83.43024443,39.02757026
29660,195.93,-83.43017451,39.02758947
29661,185.18,-83.42948927,39.02778025
29662,173.27,-83.43170715,39.02717415
29663,190.84,-83.4308828,39.02740406
29664,197.52,-83.43020384,39.02759273
29665,190.57,-83.42918959,39.02787307
29666,171.89,-83.43205629,39.02708884
29667,195.16,-83.43015547,39.02761716
29668,193.25,-83.43010764,39.02763023
29669,192.08,-83.43004653,39.02765016
29670,199.19,-83.43036982,39.02756215
29671,197.43,-83.4305061,39.02752462
29672,173.19,-83.43255557,39.02696256
29673,172.18,-83.43188117,39.02714908
29674,183.88,-83.42959422,39.02778238
29675,193.37,-83.43079015,39.02745762
29676,173.14,-83.43175295,39.02719617
29677,173.14,-83.431747,39.02719782
29678,199.6,-83.43032627,39.02759252
29679,191.84,-83.42919196,39.02790528
29680,186.06,-83.42947623,39.02782773
29681,185.85,-83.42950495,39.02781983
29682,193.07,-83.43008264,39.02766238
29683,191.88,-83.43088803,39.02744215
29684,173.09,-83.43174521,39.02720633
29685,195.84,-83.43064726,39.02751474
29686,189.94,-83.42991421,39.02771923
29687,199.81,-83.43034601,39.02760202
29688,173.05,-83.43207896,39.02712684
29689,173.18,-83.4319517,39.02716481
29690,191.28,-83.43094377,39.02744405
29691,198.16,-83.4305084,39.02756458
29692,189.53,-83.42985491,39.02775497
29693,184.38,-83.42960086,39.0278245
29694,188.71,-83.42936072,39.02789203
29695,187.67,-83.42942767,39.0278737
29696,186.7,-83.4294644,39.02786365
29697,195.95,-83.43016342,39.02767376
29698,173.04,-83.43193441,39.02718941
29699,172.99,-83.43202766,39.02716683
29700,188.7,-83.43109877,39.02742352
29701,190.35,-83.43101948,39.02744545
29702,191.52,-83.42999774,39.02772649
29703,199.87,-83.43039645,39.02762124
29704,198.39,-83.43052187,39.027587
29705,196.02,-83.43069181,39.02754057
29706,194.82,-83.43079227,39.02751947
29707,190.23,-83.42991958,39.02776128
29708,189.52,-83.43108207,39.02744495
29709,182.79,-83.4313199,39.0273844
29710,188.5,-83.43112824,39.02743741
29711,200.27,-83.43038138,39.02764336
29712,191.25,-83.42996929,39.02775583
29713,187.68,-83.42944214,39.02790151
29714,199.24,-83.43049286,39.0276168
29715,173.44,-83.4327752,39.02699456
29716,172.84,-83.43225332,39.0271387
29717,198.23,-83.43057742,39.02760026
29718,187.97,-83.42976362,39.02782453
29719,199.81,-83.43044618,39.02764002
29720,194.04,-83.4308832,39.02752694
29721,173.3,-83.4326107,39.02706124
29722,187.3,-83.43118505,39.0274538
29723,195.19,-83.43082495,39.02755302
29724,186.27,-83.42962737,39.02788017
29725,194.88,-83.43012449,39.02774773
29726,190.35,-83.43109062,39.0274855
29727,172.71,-83.43235594,39.0271435
29728,195.06,-83.43084397,39.02755866
29729,197.5,-83.43067908,39.02760399
29730,198.41,-83.4306023,39.02762506
29731,198.89,-83.43056957,39.02763403
29732,199.09,-83.4305476,39.02764007
29733,200.58,-83.43036736,39.02769266
29734,200.38,-83.43043374,39.0276747
29735,183.87,-83.43131733,39.02743401
29736,172.38,-83.43235252,39.02715501
29737,187.83,-83.43120032,39.02747132
29738,194.46,-83.43089023,39.02755671
29739,194.96,-83.43012042,39.02776718
29740,186.59,-83.4296258,39.02790182
29741,187.76,-83.4294918,39.02793849
29742,188.71,-83.42945202,39.02795058
29743,187.96,-83.4312067,39.02747533
29744,182.03,-83.43163769,39.02736183
29745,199.95,-83.43051125,39.02767489
29746,172.78,-83.43224264,39.02720451
29747,199.46,-83.43026954,39.02774714
29748,200.66,-83.43035034,39.02772851
